Key,English
goGameWorld,[cd5c5c]Select 'Dishong Challenge (biome)'[-]
goGameWorldType,[cd5c5c] Select 'Static World'[-] Game World Type
goBiomeProgression,Biome Progression. Set this to [00ff00]OFF[-]
goBiomeProgressionDesc,Enables biome hazards and loot stage caps to promote biome progression.\n\nLoot stage caps are increased by completing biome challenges.\n\nHIGHLY recommended to turn this [ffd700]OFF[-]
goLootRespawnDays,Loot Respawn - [00ff00]'DO NOT Disable!'[-]
goLootRespawnDaysDesc,The number of days for loot to respawn if there are no players around.\n\nSelect [00ff00]ANYTHING[-] except [ffd700]'Disabled'[-]

resourceCoalDesc,"A great fuel source and a core ingredient for gunpowder.\n\nCan be made from wood in a campfire"
resourceAcidDesc,A resource used in crafting recipes.\n\nCan be crafted in beaker at a campfire or at the chemistry station.
resourceBatteryAcid,Bottle of Acid
resourceBatteryAcidDesc,A resource used in crafting recipes.\n\nCan be extracted from a car battery at the chemistry station.
resourceAnimalFat,"Fat"
resourceAnimalFatDesc,"Fat can be eaten raw or used in cooking or other crafting recipes."
drugAntibioticsDT,Antibiotics
drugAntibioticsDTDesc,Antibiotics can cure infections.\n\nCan be crafted in a beaker at a campfire or at the chemistry station.
foodShepardsPie,Shepherd's Pie
foodShepardsPieDesc,"Shepherd's Pie sure is tasty and super filling.\n\nI just wish The Fun Pimps spelt it properly, so I didn't need to add this description..."

DishongEntityLootContainerUtilityWorkerLoot,Utility Worker Loot
DishongEntityLootContainerBusinessManLoot,Businessman Loot
DishongEntityLootContainerPartyGirlLoot,Party Girl Loot
DishongEntityLootContainerWightFeralLoot,Wight Loot
DishongEntityLootContainerFatCopLoot,Cop Loot
DishongEntityLootContainerZombieMutatedLoot,Mutated Loot
DishongEntityLootContainerJanitorLoot,Janitor Loot
DishongEntityLootContainerSkateboarderLoot,Thug Loot
DishongEntityLootContainerSoldierLoot,Soldier Loot
DishongEntityLootContainerZombieFemaleLoot,Female Zombie Loot
DishongEntityLootContainerSteveAndTomLoot,Special Male Loot
DishongEntityLootContainerZombieMaleLoot,Male Zombie Loot
DishongEntityLootContainerFatZombieLoot,Fat Zombie Loot
DishongEntityLootContainerNurseLoot,Nurse Loot
DishongEntityLootContainerLabWorkerLoot,Lab Worker Loot
DishongEntityLootContainerMaleHazmatLoot,Hazmat Loot
DishongEntityLootContainerLumberjackLoot,Lumberjack Loot
DishongEntityLootContainerBikerLoot,Biker Loot

DishongEntityLootContainerRadUtilityWorkerLoot,Utility Loot
DishongEntityLootContainerRadBusinessManLoot,Businessman Loot
DishongEntityLootContainerRadPartyGirlLoot,Party Girl Loot
DishongEntityLootContainerRadWightFeralLoot,Wight Loot
DishongEntityLootContainerRadFatCopLoot,Cop Loot
DishongEntityLootContainerRadZombieMutatedLoot,Mutated Loot
DishongEntityLootContainerRadJanitorLoot,Janitor Loot
DishongEntityLootContainerRadSkateboarderLoot,Thug Loot
DishongEntityLootContainerRadSoldierLoot,Soldier Loot
DishongEntityLootContainerRadZombieFemaleLoot,Female Zombie Loot
DishongEntityLootContainerRadSteveAndTomLoot,Special Male Loot
DishongEntityLootContainerRadZombieMaleLoot,Male Zombie Loot
DishongEntityLootContainerRadFatZombieLoot,Fat Zombie Loot
DishongEntityLootContainerRadNurseLoot,Nurse Loot
DishongEntityLootContainerRadLabWorkerLoot,Lab Worker Loot

perkGreaseMonkeyRank1Desc,Wheely good
perkGreaseMonkeyRank1LongDesc,Congratulations - you are now as smart as a primitive human!\n\nCraft wheels 33% cheaper.\n\nRepair kits are 10 percent more effective on vehicles.
perkGreaseMonkeyRank2Desc,Oil be back
perkGreaseMonkeyRank2LongDesc,"Not quite a fully-fledged grease monkey, but at least it's a start.\n\nRepair kits are 20 percent more effective on vehicles."
perkGreaseMonkeyRank3Desc,Life's a gas
perkGreaseMonkeyRank3LongDesc,Now you're starting to know your way around a toolbox!\n\nRepair kits are 30 percent more effective on vehicles.
perkGreaseMonkeyRank4Desc,Not very basic
perkGreaseMonkeyRank4LongDesc,"Your mechanical prowess is that of a professional pit crew!\n\nRepair kits are 40 percent more effective on vehicles."
perkGreaseMonkeyRank5Desc,At last!!
perkGreaseMonkeyRank5LongDesc,"You're a full-on aeronautical MacGyver.\nCraft gyrocopter parts 33% cheaper.\n\nRepair kits are 50 percent more effective on vehicles."
vehiclesT1,Tier 1: Wheels
vehiclesT2,Tier 2: Oil
vehiclesT3,Tier 3: Gas Cans
vehiclesT4,Tier 4: Acid
vehiclesT5,Tier 5: Gyrocopter
workstationsT1-1,Tier 1: Dew Collector
workstationsT1-3,Tier 1: Forge
workstationsT1-4,Tier 1: Lock Picks
workstationsT1-5,Tier 1: Workbench
workstationsT2-1,Tier 2: Bellows

harvestingToolsSkillMagazineDT,Tools Digest
repairToolsSkillMagazineDT,Handy Land
salvageToolsSkillMagazineDT,Scrapping 4 Fun
vehiclesSkillMagazineDT,Vehicle Adventures
workstationSkillMagazineDT,Forge Ahead
armorSkillMagazineDT,Armored Up
electricianSkillMagazineDT,Wiring 101
trapsSkillMagazineDT,Electrical Traps
foodSkillMagazineDT,Home Cooking Weekly
bowsSkillMagazineDT,Bow Hunters
handgunsSkillMagazineDT,Handgun Magazine
machineGunsSkillMagazineDT,Tactical Warfare
riflesSkillMagazineDT,Rifle World
shotgunsSkillMagazineDT,Shotgun Weekly
medicalSkillMagazineDT,Medical Journal
